Constituency,Conservative,Labour,Liberal Democrat,Reform UK,Green Party,Scottish National Party,Plaid Cymru,Other,Winner,GE_winner,Change,,
Aberafan Maesteg,7%,21%,14%,39%,2%,0%,13%,5%,Reform UK,Labour,Reform UK GAIN from Labour,,
Aberdeen North,12%,28%,8%,12%,1%,37%,0%,1%,SNP,SNP,SNP HOLD,,
Aberdeen South,24%,21%,9%,18%,1%,25%,0%,2%,SNP,SNP,SNP HOLD,,
Aberdeenshire North and Moray East,23%,8%,4%,24%,1%,33%,0%,8%,SNP,SNP,SNP HOLD,,
Airdrie and Shotts,11%,20%,8%,19%,3%,39%,0%,1%,SNP,Labour,SNP GAIN from Labour,,
Aldershot,22%,24%,10%,34%,9%,0%,0%,1%,Reform UK,Labour,Reform UK GAIN from Labour,,
Aldridge-Brownhills,27%,17%,12%,40%,4%,0%,0%,0%,Reform UK,Conservative,Reform UK GAIN from Conservative,,
Alloa and Grangemouth,10%,18%,4%,26%,2%,38%,0%,3%,SNP,Labour,SNP GAIN from Labour,,
Altrincham and Sale West,26%,28%,11%,22%,13%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Alyn and Deeside,19%,18%,9%,34%,7%,0%,6%,7%,Reform UK,Labour,Reform UK GAIN from Labour,,
Amber Valley,19%,20%,14%,42%,5%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Angus and Perthshire Glens,21%,9%,3%,18%,1%,44%,0%,5%,SNP,SNP,SNP HOLD,,
Arbroath and Broughty Ferry,11%,18%,2%,21%,0%,47%,0%,2%,SNP,SNP,SNP HOLD,,
"Argyll, Bute and South Lochaber",18%,9%,6%,20%,1%,41%,0%,5%,SNP,SNP,SNP HOLD,,
Arundel and South Downs,36%,12%,16%,21%,15%,0%,0%,0%,Conservative,Conservative,Conservative HOLD,,
Ashfield,9%,17%,11%,48%,1%,0%,0%,14%,Reform UK,Reform UK,Reform UK HOLD,,
Ashford,22%,17%,9%,40%,13%,0%,0%,1%,Reform UK,Labour,Reform UK GAIN from Labour,,
Ashton-under-Lyne,13%,24%,8%,46%,8%,0%,0%,1%,Reform UK,Labour,Reform UK GAIN from Labour,,
Aylesbury,27%,23%,23%,21%,7%,0%,0%,0%,Conservative,Labour,Conservative GAIN from Labour,,
"Ayr, Carrick and Cumnock",16%,33%,5%,14%,2%,28%,0%,2%,Labour,Labour,Labour HOLD,,
Banbury,29%,24%,16%,23%,9%,0%,0%,0%,Conservative,Labour,Conservative GAIN from Labour,,
Bangor Aberconwy,11%,17%,1%,34%,6%,0%,29%,2%,Reform UK,Labour,Reform UK GAIN from Labour,,
Barking,15%,23%,2%,33%,15%,0%,0%,12%,Reform UK,Labour,Reform UK GAIN from Labour,,
Barnsley North,9%,19%,9%,57%,5%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Barnsley South,9%,16%,8%,63%,4%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Barrow and Furness,21%,24%,13%,38%,3%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Basildon and Billericay,26%,17%,8%,43%,7%,0%,0%,0%,Reform UK,Conservative,Reform UK GAIN from Conservative,,
Basingstoke,22%,24%,10%,33%,11%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Bassetlaw,19%,21%,12%,43%,5%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour,,
Bath,19%,18%,38%,13%,12%,0%,0%,1%,Liberal Democrat,Liberal Democrat,Liberal Democrat HOLD,,
Bathgate and Linlithgow,13%,20%,6%,23%,1%,35%,0%,2%,SNP,Labour,SNP GAIN from Labour,,
Battersea,23%,42%,15%,10%,9%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Beaconsfield,33%,15%,25%,21%,6%,0%,0%,1%,Conservative,Conservative,Conservative HOLD,,
Beckenham and Penge,26%,40%,15%,10%,8%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Bedford,22%,33%,12%,24%,9%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Bermondsey and Old Southwark,13%,34%,17%,15%,21%,0%,0%,1%,Labour,Labour,Labour HOLD,,
"Berwickshire, Roxburgh and Selkirk",30%,21%,7%,14%,2%,21%,0%,5%,Conservative,Conservative,Conservative HOLD,,
Bethnal Green and Stepney,8%,33%,10%,10%,13%,0%,0%,26%,Labour,Labour,Labour HOLD,,
Beverley and Holderness,27%,19%,16%,35%,4%,0%,0%,0%,Reform UK,Conservative,Reform UK GAIN from Conservative,,
Bexhill and Battle,32%,17%,11%,30%,9%,0%,0%,1%,Conservative,Conservative,Conservative HOLD,,
Bexleyheath and Crayford,31%,27%,12%,21%,7%,0%,0%,2%,Conservative,Labour,Conservative GAIN from Labour,,
Bicester and Woodstock,26%,16%,35%,17%,6%,0%,0%,0%,Liberal Democrat,Liberal Democrat,Liberal Democrat HOLD,,
Birkenhead,9%,34%,10%,28%,19%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Birmingham Edgbaston,21%,34%,9%,28%,7%,0%,0%,1%,Labour,Labour,Labour HOLD,,
Birmingham Erdington,15%,23%,7%,48%,6%,0%,0%,1%,Reform UK,Labour,Reform UK GAIN from Labour,,
