Constituency,Conservative,Labour,Liberal Democrat,Reform UK,Green Party,Scottish National Party,Plaid Cymru,Other,Winner,GE_winner,Change
Aberafan Maesteg,7%,26%,5%,40%,6%,0%,6%,9%,Reform UK,Labour,Reform UK GAIN from Labour
Aberdeen North,10%,16%,9%,24%,7%,30%,0%,4%,SNP,SNP,SNP HOLD
Aberdeen South,16%,12%,12%,29%,5%,24%,0%,3%,Reform UK,SNP,Reform UK GAIN from SNP
Aberdeenshire North and Moray East,20%,10%,6%,32%,1%,31%,0%,0%,Reform UK,SNP,Reform UK GAIN from SNP
Airdrie and Shotts,5%,25%,8%,22%,5%,33%,0%,1%,SNP,Labour,SNP GAIN from Labour
Aldershot,22%,24%,14%,30%,6%,0%,0%,3%,Reform UK,Labour,Reform UK GAIN from Labour
Aldridge-Brownhills,28%,13%,10%,44%,4%,0%,0%,0%,Reform UK,Conservative,Reform UK GAIN from Conservative
Alloa and Grangemouth,6%,22%,8%,32%,6%,25%,0%,2%,Reform UK,Labour,Reform UK GAIN from Labour
Altrincham and Sale West,25%,23%,7%,28%,14%,0%,0%,3%,Reform UK,Labour,Reform UK GAIN from Labour
Alyn and Deeside,14%,24%,11%,28%,7%,0%,6%,9%,Reform UK,Labour,Reform UK GAIN from Labour
Amber Valley,19%,19%,11%,45%,6%,0%,0%,0%,Reform UK,Labour,Reform UK GAIN from Labour
Angus and Perthshire Glens,20%,11%,8%,21%,2%,35%,0%,4%,SNP,SNP,SNP HOLD
Arbroath and Broughty Ferry,11%,16%,4%,31%,6%,29%,0%,3%,Reform UK,SNP,Reform UK GAIN from SNP
"Argyll, Bute and South Lochaber",14%,12%,10%,22%,2%,36%,0%,4%,SNP,SNP,SNP HOLD
Arundel and South Downs,33%,11%,14%,25%,15%,0%,0%,2%,Conservative,Conservative,Conservative HOLD
Ashfield,9%,14%,13%,55%,1%,0%,0%,7%,Reform UK,Reform UK,Reform UK HOLD
Ashford,22%,17%,11%,34%,12%,0%,0%,3%,Reform UK,Labour,Reform UK GAIN from Labour
Ashton-under-Lyne,10%,24%,9%,44%,8%,0%,0%,4%,Reform UK,Labour,Reform UK GAIN from Labour
Aylesbury,23%,18%,23%,27%,7%,0%,0%,2%,Reform UK,Labour,Reform UK GAIN from Labour
"Ayr, Carrick and Cumnock",16%,20%,5%,24%,2%,30%,0%,3%,SNP,Labour,SNP GAIN from Labour
Banbury,26%,23%,12%,29%,8%,0%,0%,2%,Reform UK,Labour,Reform UK GAIN from Labour
Bangor Aberconwy,16%,21%,8%,30%,6%,0%,17%,2%,Reform UK,Labour,Reform UK GAIN from Labour
Barking,12%,29%,7%,27%,16%,0%,0%,8%,Labour,Labour,Labour HOLD
