Constituency,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,Winner,Change
Aberafan Maesteg,6.4%,16.2%,7.8%,42.5%,6.5%,0.0%,18.4%,2.2%,RUK,RUK GAIN from Lab
Aberdeen North,10.4%,4.7%,10.8%,19.5%,2.9%,45.7%,0.0%,6.1%,SNP,SNP HOLD
Aberdeen South,16.0%,4.0%,10.4%,24.4%,2.8%,39.9%,0.0%,2.7%,SNP,SNP HOLD
Aberdeenshire North and Moray East,23.1%,2.7%,12.5%,32.8%,2.1%,26.9%,0.0%,0.0%,RUK,RUK GAIN from SNP
Airdrie and Shotts,7.2%,19.0%,6.8%,28.9%,5.8%,30.0%,0.0%,2.3%,SNP,SNP GAIN from Lab
Aldershot,25.0%,25.9%,9.6%,30.5%,8.0%,0.0%,0.0%,1.0%,RUK,RUK GAIN from Lab
Aldridge-Brownhills,30.6%,16.6%,6.7%,41.3%,4.8%,0.0%,0.0%,0.0%,RUK,RUK GAIN from Con
Alloa and Grangemouth,8.0%,14.9%,9.0%,31.1%,4.7%,30.5%,0.0%,1.9%,RUK,RUK GAIN from Lab
Altrincham and Sale West,27.8%,25.4%,4.8%,25.3%,15.3%,0.0%,0.0%,1.4%,Con,Con GAIN from Lab
Alyn and Deeside,17.9%,27.8%,5.9%,25.8%,5.5%,0.0%,15.4%,1.7%,Lab,Lab HOLD
Amber Valley,20.3%,17.0%,7.4%,46.1%,9.1%,0.0%,0.0%,0.0%,RUK,RUK GAIN from Lab
Angus and Perthshire Glens,23.6%,4.0%,11.9%,24.7%,0.9%,33.0%,0.0%,1.9%,SNP,SNP HOLD
Arbroath and Broughty Ferry,13.7%,5.6%,9.1%,35.5%,0.5%,34.2%,0.0%,1.4%,RUK,RUK GAIN from SNP
"Argyll, Bute and South Lochaber",18.7%,2.0%,24.1%,20.6%,1.8%,30.1%,0.0%,2.6%,SNP,SNP HOLD
Arundel and South Downs,34.7%,10.3%,8.9%,26.0%,19.6%,0.0%,0.0%,0.6%,Con,Con HOLD
Ashfield,7.7%,11.8%,7.4%,57.4%,5.8%,0.0%,0.0%,9.9%,RUK,RUK HOLD
Ashford,25.4%,16.8%,5.0%,36.8%,13.3%,0.0%,0.0%,2.8%,RUK,RUK GAIN from Lab
Ashton-under-Lyne,11.9%,20.0%,8.0%,44.6%,13.7%,0.0%,0.0%,1.8%,RUK,RUK GAIN from Lab
Aylesbury,26.2%,18.5%,16.3%,27.1%,10.5%,0.0%,0.0%,1.5%,RUK,RUK GAIN from Lab
"Ayr, Carrick and Cumnock",19.8%,11.6%,7.7%,24.9%,0.6%,31.8%,0.0%,3.6%,SNP,SNP GAIN from Lab
Banbury,27.2%,21.9%,4.9%,29.4%,14.0%,0.0%,0.0%,2.6%,RUK,RUK GAIN from Lab
Bangor Aberconwy,17.6%,11.9%,2.9%,28.5%,8.0%,0.0%,29.6%,1.5%,PC,PC GAIN from Lab
Barking,13.6%,25.5%,4.2%,31.9%,21.7%,0.0%,0.0%,3.0%,RUK,RUK GAIN from Lab
Barnsley North,7.9%,14.1%,10.7%,55.0%,8.8%,0.0%,0.0%,3.4%,RUK,RUK GAIN from Lab
Barnsley South,8.6%,13.8%,11.3%,55.3%,8.5%,0.0%,0.0%,2.5%,RUK,RUK GAIN from Lab
Barrow and Furness,24.6%,20.5%,9.3%,36.6%,8.2%,0.0%,0.0%,0.8%,RUK,RUK GAIN from Lab
Basildon and Billericay,27.8%,15.6%,5.3%,42.1%,7.8%,0.0%,0.0%,1.3%,RUK,RUK GAIN from Con
Basingstoke,24.1%,21.5%,6.7%,34.3%,12.0%,0.0%,0.0%,1.4%,RUK,RUK GAIN from Lab
Bassetlaw,20.9%,17.0%,6.8%,46.1%,9.2%,0.0%,0.0%,0.0%,RUK,RUK GAIN from Lab
Bath,16.0%,13.5%,32.0%,18.9%,16.4%,0.0%,0.0%,3.2%,LD,LD HOLD
Bathgate and Linlithgow,6.9%,17.0%,10.7%,30.6%,5.1%,28.3%,0.0%,1.5%,RUK,RUK GAIN from Lab
Battersea,21.2%,36.5%,9.3%,13.9%,16.7%,0.0%,0.0%,2.3%,Lab,Lab HOLD
Beaconsfield,33.4%,10.9%,13.8%,30.2%,8.6%,0.0%,0.0%,3.1%,Con,Con HOLD
Beckenham and Penge,22.1%,36.1%,7.1%,23.3%,11.4%,0.0%,0.0%,0.0%,Lab,Lab HOLD
Bedford,20.8%,28.5%,9.3%,28.1%,10.5%,0.0%,0.0%,2.8%,Lab,Lab HOLD
Bermondsey and Old Southwark,8.8%,31.4%,25.8%,16.2%,16.0%,0.0%,0.0%,1.8%,Lab,Lab HOLD
"Berwickshire, Roxburgh and Selkirk",30.9%,3.9%,15.0%,16.4%,0.7%,27.7%,0.0%,5.5%,Con,Con HOLD
Bethnal Green and Stepney,6.1%,34.4%,10.5%,12.8%,30.3%,0.0%,0.0%,5.9%,Lab,Lab HOLD
Beverley and Holderness,28.4%,17.5%,8.8%,35.8%,7.1%,0.0%,0.0%,2.5%,RUK,RUK GAIN from Con
Bexhill and Battle,30.2%,13.8%,3.8%,34.7%,13.4%,0.0%,0.0%,4.0%,RUK,RUK GAIN from Con
Bexleyheath and Crayford,26.5%,21.8%,6.1%,39.3%,6.3%,0.0%,0.0%,0.0%,RUK,RUK GAIN from Lab
Bicester and Woodstock,24.9%,15.7%,22.5%,25.2%,10.9%,0.0%,0.0%,0.8%,RUK,RUK GAIN from LD
Birkenhead,8.6%,28.8%,6.5%,29.9%,25.2%,0.0%,0.0%,1.1%,RUK,RUK GAIN from Lab
Birmingham Edgbaston,21.2%,30.9%,10.3%,23.1%,11.6%,0.0%,0.0%,2.9%,Lab,Lab HOLD
Birmingham Erdington,17.5%,22.9%,12.4%,35.3%,10.7%,0.0%,0.0%,1.3%,RUK,RUK GAIN from Lab
Birmingham Hall Green and Moseley,9.8%,34.7%,11.2%,12.1%,24.8%,0.0%,0.0%,7.4%,Lab,Lab HOLD
Birmingham Hodge Hill and Solihull North,16.9%,22.5%,6.8%,29.7%,21.2%,0.0%,0.0%,2.9%,RUK,RUK GAIN from Lab
Birmingham Ladywood,7.8%,36.4%,13.8%,13.1%,24.1%,0.0%,0.0%,4.8%,Lab,Lab HOLD
Birmingham Northfield,23.0%,24.1%,8.4%,33.2%,10.2%,0.0%,0.0%,1.1%,RUK,RUK GAIN from Lab
Birmingham Perry Barr,10.3%,24.2%,8.3%,12.0%,16.1%,0.0%,0.0%,29.1%,Ind,Ind HOLD
Birmingham Selly Oak,15.1%,29.1%,10.4%,28.9%,13.1%,0.0%,0.0%,3.6%,Lab,Lab HOLD
Birmingham Yardley,12.3%,24.7%,16.5%,25.9%,16.3%,0.0%,0.0%,4.2%,RUK,RUK GAIN from Lab
Bishop Auckland,22.6%,16.6%,9.6%,41.9%,8.0%,0.0%,0.0%,1.2%,RUK,RUK GAIN from Lab
Blackburn,7.4%,17.6%,2.6%,19.8%,23.5%,0.0%,0.0%,29.2%,Ind,Ind HOLD
